index,key,date,pid,latitude,longitude,gps_furuno_latitude,gps_furuno_longitude,offset,dist_from_ref
0,D20180201T103729_IFCB102,2018-02-01 10:37:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102,40.8413,-70.8868,40.8413,-70.8868,0.0,0.2951783280576428
2494,D20180201T110037_IFCB102,2018-02-01 11:01:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102,40.8177,-70.8833,40.8155,-70.8831,244.8928054104103,0.016873871712872583
4884,D20180201T112345_IFCB102,2018-02-01 11:24:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102,40.7701,-70.8798,40.7681,-70.8797,222.2593083898425,0.3039457621189989
7268,D20180201T114755_IFCB102,2018-02-01 11:48:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T114755_IFCB102,40.7196,-70.8785,40.7175,-70.8785,233.201790514018,0.4055682531591506
9378,D20180201T191037_IFCB102,2018-02-01 19:11:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T191037_IFCB102,40.6989,-70.8864,40.6987,-70.8862,27.910432322652845,0.24509973713618105
11097,D20180201T193325_IFCB102,2018-02-01 19:33:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T193325_IFCB102,40.6923,-70.8842,40.6923,-70.8842,0.0,0.07607271487502315
12925,D20180201T195614_IFCB102,2018-02-01 19:56:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T195614_IFCB102,40.6871,-70.8833,40.6871,-70.8833,0.0,0.0
14677,D20180201T201903_IFCB102,2018-02-01 20:19:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T201903_IFCB102,40.6784,-70.8812,40.6784,-70.8812,0.0,0.1775398826137319
16637,D20180201T204151_IFCB102,2018-02-01 20:42:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T204151_IFCB102,40.6732,-70.8847,40.673,-70.885,33.71406667420613,0.14373435865373774
17976,D20180201T210440_IFCB102,2018-02-01 21:05:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T210440_IFCB102,40.6655,-70.892,40.6653,-70.8921,23.764764485271428,0.7441222654001228
19144,D20180201T221306_IFCB102,2018-02-01 22:13:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T221306_IFCB102,40.5879,-70.8945,40.5879,-70.8945,0.0,0.9481586762647061
21374,D20180201T223555_IFCB102,2018-02-01 22:36:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T223555_IFCB102,40.5449,-70.8862,40.5431,-70.8855,208.49177236700265,0.18636967799414889
23999,D20180201T225844_IFCB102,2018-02-01 22:59:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T225844_IFCB102,40.5296,-70.8855,40.5294,-70.8858,33.75460201275831,0.21182686723366567
26799,D20180201T232132_IFCB102,2018-02-01 23:22:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T232132_IFCB102,40.5266,-70.8905,40.5265,-70.8907,20.260940611391504,0.6270345538355483
29459,D20180202T005247_IFCB102,2018-02-02 00:53:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T005247_IFCB102,40.5276,-70.8856,40.5289,-70.8836,222.61509696823643,0.0254194129850436
31991,D20180202T011536_IFCB102,2018-02-02 01:16:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T011536_IFCB102,40.5263,-70.8852,40.5261,-70.8855,33.75553257318323,0.1864167864616036
34413,D20180202T013825_IFCB102,2018-02-02 01:38:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T013825_IFCB102,40.5226,-70.8885,40.5226,-70.8885,0.0,0.4406444148267013
36698,D20180202T020114_IFCB102,2018-02-02 02:01:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T020114_IFCB102,40.4718,-70.8857,40.4718,-70.8857,0.0,0.20352779563450785
38778,D20180202T022403_IFCB102,2018-02-02 02:24:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T022403_IFCB102,40.4144,-70.8819,40.4144,-70.8819,0.0,0.11882557691266185
40792,D20180202T024651_IFCB102,2018-02-02 02:47:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T024651_IFCB102,40.3599,-70.8786,40.3594,-70.8754,277.43357812689044,0.6710613790928202
42817,D20180202T085151_IFCB102,2018-02-02 08:52:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T085151_IFCB102,40.3563,-70.8862,40.3569,-70.8843,174.61162460713624,0.08494761590321574
44796,D20180202T091440_IFCB102,2018-02-02 09:15:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T091440_IFCB102,40.3591,-70.8796,40.359,-70.8799,27.79765727550368,0.28881293336564673
46807,D20180202T093729_IFCB102,2018-02-02 09:37:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T093729_IFCB102,40.3556,-70.8797,40.3556,-70.8797,0.0,0.30581729042349104
48830,D20180202T100018_IFCB102,2018-02-02 10:00:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T100018_IFCB102,40.3526,-70.8805,40.3526,-70.8805,0.0,0.23786843370806404
50860,D20180202T102306_IFCB102,2018-02-02 10:23:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T102306_IFCB102,40.3486,-70.8798,40.3486,-70.8798,0.0,0.29735310943673254
52908,D20180202T104555_IFCB102,2018-02-02 10:46:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T104555_IFCB102,40.3503,-70.882,40.3505,-70.8821,23.777769036619226,0.10194677662833318
54783,D20180202T110844_IFCB102,2018-02-02 11:09:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T110844_IFCB102,40.3512,-70.8925,40.3517,-70.8931,75.37082454951096,0.832550585344979
56862,D20180202T115422_IFCB102,2018-02-02 11:54:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T115422_IFCB102,40.3215,-70.8931,40.3215,-70.8931,0.0,0.8329218505349324
59163,D20180202T121710_IFCB102,2018-02-02 12:17:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T121710_IFCB102,40.3021,-70.8892,40.3021,-70.8892,0.0,0.5015964608159331
61376,D20180202T123959_IFCB102,2018-02-02 12:40:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T123959_IFCB102,40.2835,-70.8864,40.2826,-70.8863,100.2972398768319,0.2551223655428258
63512,D20180202T130248_IFCB102,2018-02-02 13:03:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T130248_IFCB102,40.2626,-70.883,40.2617,-70.8828,101.37355328200152,0.04253348567745469
65909,D20180202T132537_IFCB102,2018-02-02 13:26:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T132537_IFCB102,40.2407,-70.8797,40.2397,-70.8796,111.36482932899824,0.3148497238002907
68512,D20180202T134826_IFCB102,2018-02-02 13:48:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T134826_IFCB102,40.2217,-70.8737,40.2217,-70.8737,0.0,0.8171236828686915
71154,D20180202T141115_IFCB102,2018-02-02 14:11:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T141115_IFCB102,40.2193,-70.88,40.2193,-70.88,0.0,0.28089617737486644
73930,D20180202T143403_IFCB102,2018-02-02 14:34:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T143403_IFCB102,40.2172,-70.8862,40.2172,-70.8862,0.0,0.246855776683936
76742,D20180202T145652_IFCB102,2018-02-02 14:57:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T145652_IFCB102,40.2161,-70.8904,40.2159,-70.8906,27.98266509218864,0.6214074506679013
79612,D20180202T171345_IFCB102,2018-02-02 17:14:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T171345_IFCB102,40.2065,-70.8964,40.2056,-70.8949,162.15888886084335,0.9875914656119468
82610,D20180202T212443_IFCB102,2018-02-02 21:25:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T212443_IFCB102,40.1006,-70.8812,40.0995,-70.8828,183.11615875718553,0.04263489171933266
86342,D20180202T214732_IFCB102,2018-02-02 21:48:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T214732_IFCB102,40.0872,-70.8772,40.0865,-70.8758,142.46947742182024,0.6396450652509071
90156,D20180203T024407_IFCB102,2018-02-03 02:44:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180203T024407_IFCB102,40.1018,-70.8864,40.1018,-70.8864,0.0,0.2643274282758573
93225,D20180203T073635_IFCB102,2018-02-03 07:37:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180203T073635_IFCB102,40.0913,-70.8963,40.0906,-70.895,135.39647655114993,0.9977864356269861
96353,D20180203T075856_IFCB102,2018-02-03 07:59:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180203T075856_IFCB102,40.0618,-70.8863,40.0604,-70.8861,156.38384580508074,0.2388919982122933
99510,D20180203T082118_IFCB102,2018-02-03 08:21:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180203T082118_IFCB102,40.029,-70.8855,40.029,-70.8855,0.0,0.18778698733336116
102174,D20180203T084339_IFCB102,2018-02-03 08:44:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180203T084339_IFCB102,39.9967,-70.8838,39.9953,-70.8838,155.44837799207093,0.042699855660611484
105302,D20180203T090601_IFCB102,2018-02-03 09:06:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180203T090601_IFCB102,39.9621,-70.8828,39.9621,-70.8828,0.0,0.04272052455985377
108308,D20180203T092822_IFCB102,2018-02-03 09:28:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180203T092822_IFCB102,39.9408,-70.8806,39.9408,-70.8806,0.0,0.2307623981774353
111093,D20180203T101305_IFCB102,2018-02-03 10:13:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180203T101305_IFCB102,39.8606,-70.8755,39.8606,-70.8755,0.0,0.667424545707373
113924,D20180203T103526_IFCB102,2018-02-03 10:35:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180203T103526_IFCB102,39.8143,-70.8793,39.8143,-70.8793,0.0,0.34249890873330663
116623,D20180204T000017_IFCB102,2018-02-04 00:00:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T000017_IFCB102,39.909,-70.8886,39.909,-70.8886,0.0,0.4531876553337866
119490,D20180204T002238_IFCB102,2018-02-04 00:23:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T002238_IFCB102,39.8976,-70.8906,39.8972,-70.8908,47.59283096937498,0.6414133034338296
122360,D20180204T015204_IFCB102,2018-02-04 01:52:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T015204_IFCB102,40.0556,-70.8896,40.0556,-70.8896,0.0,0.53754471078113
125557,D20180204T021426_IFCB102,2018-02-04 02:14:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T021426_IFCB102,40.085,-70.8809,40.085,-70.8809,0.0,0.20469091341063472
128722,D20180204T051317_IFCB102,2018-02-04 05:13:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T051317_IFCB102,40.1764,-70.8716,40.1764,-70.8716,0.0,0.9965324586137165
130579,D20180204T053538_IFCB102,2018-02-04 05:36:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T053538_IFCB102,40.2211,-70.874,40.2219,-70.873,123.02813352097182,0.8767030400124132
132938,D20180204T104837_IFCB102,2018-02-04 10:49:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T104837_IFCB102,40.5293,-70.8844,40.5291,-70.8844,22.208963823519305,0.09320423720205115
134718,D20180204T111058_IFCB102,2018-02-04 11:11:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T111058_IFCB102,40.5259,-70.8825,40.5258,-70.8823,20.26108734360229,0.08473528074782227
136516,D20180204T113319_IFCB102,2018-02-04 11:33:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T113319_IFCB102,40.5724,-70.8821,40.5724,-70.8821,0.0,0.10161187990281369
138288,D20180204T115540_IFCB102,2018-02-04 11:56:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T115540_IFCB102,40.6289,-70.8823,40.6315,-70.8823,288.72159398803564,0.08460202198349356
139998,D20180204T121802_IFCB102,2018-02-04 12:18:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T121802_IFCB102,40.6886,-70.8836,40.6886,-70.8836,0.0,0.02535897424389298
142127,D20180204T124023_IFCB102,2018-02-04 12:40:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T124023_IFCB102,40.6949,-70.8812,40.6949,-70.8812,0.0,0.17749610155626516
144281,D20180204T130244_IFCB102,2018-02-04 13:03:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T130244_IFCB102,40.7014,-70.8821,40.7041,-70.8819,300.30609442464873,0.11831445592057649
146409,D20180204T132506_IFCB102,2018-02-04 13:25:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T132506_IFCB102,40.7637,-70.8788,40.7637,-70.8788,0.0,0.37995726095198357
148580,D20180204T134727_IFCB102,2018-02-04 13:47:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T134727_IFCB102,40.8241,-70.8809,40.8241,-70.8809,0.0,0.20246031040783238
150497,D20180204T140948_IFCB102,2018-02-04 14:10:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T140948_IFCB102,40.8627,-70.883,40.8627,-70.8828,16.86190686942109,0.04215476717530216
152543,D20180204T143210_IFCB102,2018-02-04 14:32:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T143210_IFCB102,40.8595,-70.8809,40.8595,-70.8809,0.0,0.20235262090507974
154522,D20180204T145431_IFCB102,2018-02-04 14:55:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T145431_IFCB102,40.852,-70.8804,40.8517,-70.8804,33.315313600605606,0.24453809655008732
156541,D20180204T151652_IFCB102,2018-02-04 15:17:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T151652_IFCB102,40.8733,-70.8815,40.8759,-70.8815,288.73386037804863,0.15172702840975463
158495,D20180204T153914_IFCB102,2018-02-04 15:39:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T153914_IFCB102,40.9322,-70.8821,40.9322,-70.8821,0.0,0.10106560932199159
160289,D20180204T160135_IFCB102,2018-02-04 16:02:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T160135_IFCB102,40.9686,-70.8814,40.9698,-70.8813,133.5295482251075,0.1683471520132038
161860,D20180204T162356_IFCB102,2018-02-04 16:24:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T162356_IFCB102,40.994,-70.88,40.9953,-70.8801,144.6149369588011,0.2692517164634459
163346,D20180204T164617_IFCB102,2018-02-04 16:46:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T164617_IFCB102,41.0178,-70.8808,41.0178,-70.8808,0.0,0.21028136591025856
165051,D20180204T170839_IFCB102,2018-02-04 17:09:00+00:00,http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T170839_IFCB102,41.0355,-70.8803,41.0359,-70.8802,45.21073650959017,0.2606775048644111
